Food, Serving Size, Calories/Serving, Total Fat, Total Carbohydrate, Protein
Baked Sweet Potato,1 each,174,0g,40.1g,3.5g
Build Your Own Baked Potato w/ Toppings,1 each,451,18.8g,54.3g,18.1g
Fresh Cucumber Ginger Mint Infused Water,8 ozl,2,0g,0.5g,0.1g
Fresh Lemon Orange and Lime Infused Water,8 ozl,5,0g,1.5g,0.1g
Belgian Waffle,6 oz,306,3.4g,60.2g,5.7g
Maple Syrup,1 ozl,144,0g,35.5g,0g
Whipped Margarine,1 oz,203,22.3g,0g,0g
Chocolate Chip Cookie,2 each,240,12g,34g,2g
Peach & Almond Crisp,1 each,125,8.2g,26.1g,1.9g
Banana,1 each,86,0.3g,22.1g,1.1g
Fresh Orange,1 each,72,0.2g,18.1g,1.4g
Fresh Red Grapes,3 oz,59,0.1g,15.4g,0.6g
Golden Fancy Apple,1 each,83,0.3g,22.1g,0.4g
Pineapple Tidbits,1 oz,11,0g,2.8g,0.1g
Red Delicious Apple,1 each,130,0g,34g,1g
Chicken Strips,4 oz,378,26.6g,20.3g,15g
Country Style Gravy,4 ozl,67,2.2g,13.4g,2.2g
French Fries,3 oz,154,6.2g,23.1g,2g
Grilled Chicken Sandwich,1 each,287,6.4g,29g,31.7g
Hamburger,1 each,522,31g,31.5g,30.3g
Veggie Burger,1 each,288,6.6g,45.6g,16.3g
Cheese Sauce,4 ozl,118,5.9g,16.5g,0g
Elbow Macaroni,4 oz,151,0.8g,31g,5.3g
Marinara Sauce,4 ozl,64,1.8g,10.9g,1.8g
Penne Noodles,4 oz,153,0.8g,32.1g,5.3g
Sausage Pizza,1/16 pizza,119,4.7g,14.6g,5.6g
Veggie Pizza,1/16 pizza,112,3.9g,15.3g,4.9g
WG Cheese Thin Crust Pizza,1/16 pizza,118,2.8g,13.9g,2.7g
Baby Carrots,1 oz,10,0g,2.3g,0.2g
Black Beans,1 oz,28,0.1g,5g,1.8g
Cantaloupe Melon Wedges,1 lb,154,0.9g,37g,3.8g
Cherry Tomatoes,1 oz,5,0.1g,1.1g,0.2g
Chilled Brown Rice,1 oz,30,0.3g,6.2g,0.6g
Chopped Romaine Lettuce,1 oz,5,0.1g,0.9g,0.3g
Craisins,1 oz,99,0g,24.1g,0g
Feta Cheese,1 oz,60,4g,1g,5g
Fresh Spinach,1 oz,5,0.1g,0.7g,0.6g
Honeydew Melon Wedge,1 lb,154,0.9g,37g,3.8g
Housemade Hummus,1 oz,67,4.7g,4.9g,1.8g
Picante Sauce,1 ozl,9,0g,1.9g,0g
Raw Broccoli Florets,1 oz,8,0.1g,1.5g,0.7g
Shredded Carrots,1 oz,12,0.1g,2.7g,0.3g
Shredded Cheddar Cheese,1 oz,111,9.1g,1g,7.1g
Sliced Fresh Mushrooms,1 oz,6,0.1g,0.9g,0.9g
Sliced Green Pepper,1 oz,6,0g,1.5g,0.2g
Tofu,2 oz,67,4g,2.7g,6g
Tuna,3 oz,93,1g,0g,21g
Mushroom Barley Soup,4 ozl,59,0.8g,11.7g,2.1g
Nine Bean Vegetable Soup,4 ozl,55,0.8g,9g,3.2g
Moroccan Chickpea Tagine,4 oz,73,1.8g,12.9g,2.5g
Peas & Carrots,3 oz,68,3.5g,8.2g,2.5g
Rosemary Chicken,1 each,203,13g,0.6g,19.6g
Scallop Potatoes w/ Jalapeno Chiles,3 oz,145,4.5g,21.7g,5.6g
Southern Style Rolls,1 each,178,3.6g,30.8g,4.7g
Steamed Quinoa,4 oz,144,2.3g,27g,5.4g
Yellow Squash w/ Onions & Basil,3 oz,25,1.3g,3.1g,1.1g
Asian Noodle Salad,3 oz,144,11.3g,7.5g,1.3g
Basil Pesto Sauce,2 ozl,65,4.9g,2.6g,2.7g
Breaded Fried Eggplant,3 oz,276,19.7g,26.9g,4.9g
Marinara Sauce,4 ozl,64,1.8g,10.9g,1.8g
Orzo Pilaf,3 oz,293,3.2g,56.6g,9.9g
Portobello Mushrooms Steaks,2 each,177,12.2g,13.9g,6.4g
Roasted Vegetables,2 oz,29,0.8g,5.2g,1.3g
Sauteed Green Peppers,1 oz,19,1.4g,1.5g,0.2g
Sauteed Onion,1 oz,19,0.9g,2.6g,0.3g
Shredded Mozzarella Cheese,1 oz,85,6.3g,0.6g,6.3g
Asian Spiced Noodles,3 oz,142,5.6g,19.3g,3.7g
Chicken Breast Strips,2 oz,70,1.8g,0g,13.4g
Edamame,2 oz,80,3.6g,6.3g,7g
Steamed Jasmine Rice,3 oz,150,0.2g,33.1g,2.7g
Stir Fry Oil Blend,1 ozl,249,28.1g,0g,0g
Teriyaki Sauce,2 ozl,37,0.2g,8g,1.2g
Tofu,2 oz,67,4g,2.7g,6g
Vegan Stir Fry Vegetable Mix,5 oz,34,0.1g,7.3g,1.8g
Vegetarian Sesame Sauce,2 ozl,66,1g,13.5g,1.3g
Blueberries,1 oz,18,0g,5g,0g
Honey,1 oz,86,0g,23.3g,0.1g
Mango,1 oz,17,0.1g,4.2g,0.2g
Nature Valley Granola Cereal,1 oz,116,4.2g,17.9g,2.1g
Vanilla Greek Yogurt,1 oz,20,0g,2.5g,2.5g
Vanilla Yogurt,1 oz,25,0.2g,4.9g,0.9g
